City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,kapoeta,4.7717,33.5903,30.75,42,87,0.54,SS,1718290911
128,margaret river,-33.95,115.0667,12.27,75,32,0.57,AU,1718290911
129,newman,37.3138,-121.0208,21.24,73,0,1.79,US,1718290911
130,antalaha,-14.9003,50.2788,23.99,85,10,4.63,MG,1718290911
131,vilyuchinsk,52.9306,158.4028,8.85,99,100,4.25,RU,1718290911
132,kristiansund,63.1115,7.732,15.03,77,75,3.09,NO,1718290911
133,mae hong son,19.3003,97.9685,24.04,99,93,0.82,TH,1718290871
134,sovetskaya gavan',48.9723,140.2878,6.73,95,30,1.43,RU,1718290912
135,la'ie,21.6477,-157.9253,26.98,80,35,2.24,US,1718290912
136,laixi,36.8592,120.5269,21.52,74,100,3.47,CN,1718290912
137,albany,42.6001,-73.9662,25.37,63,93,0.89,US,1718290815
138,flin flon,54.7682,-101.865,10.91,82,75,3.09,CA,1718290776
139,kodiak,57.79,-152.4072,7.3,91,99,2.43,US,1718290912
140,mersa matruh,31.3525,27.2453,33.11,31,0,4.63,EG,1718290912
141,vorkuta,67.5,64.0,7.84,100,100,1.79,RU,1718290912
142,rouissat,31.9243,5.3502,38.04,19,40,7.72,DZ,1718290912
143,west island,-12.1568,96.8225,26.99,94,40,6.17,CC,1718290913
144,sao miguel do iguacu,-25.3481,-54.2378,27.49,29,11,5.72,BR,1718290628
145,shenjiamen,29.9576,122.298,21.13,91,86,3.67,CN,1718290913
146,aasiaat,68.7098,-52.8699,0.69,83,96,0.63,GL,1718290913
147,selfoss,63.9331,-20.9971,14.47,70,100,6.29,IS,1718290630
148,ribeira grande,38.5167,-28.7,24.22,83,75,5.66,PT,1718290913
149,ventspils,57.3894,21.5606,15.96,67,20,5.66,LV,1718290739
150,phan rang-thap cham,11.5667,108.9833,27.44,88,42,0.58,VN,1718290913
151,mangrol,21.1167,70.1167,29.98,80,0,5.79,IN,1718290913
152,sao tome,0.3365,6.7273,26.38,80,94,5.02,ST,1718290913
153,el nido,11.1858,119.3956,28.46,76,74,0.95,PH,1718290914
154,saldanha,-33.0117,17.9442,22.03,80,5,4.41,ZA,1718290914
155,choibalsan,48.0667,114.5,11.06,86,41,7.14,MN,1718290914
156,timbuktu,16.7735,-3.0074,42.32,17,100,2.6,ML,1718290914
157,kingston,17.997,-76.7936,31.2,74,20,8.23,JM,1718290637
158,guichon,-32.35,-57.2,21.96,63,100,7.99,UY,1718290914
159,cidreira,-30.1811,-50.2056,22.22,63,100,3.16,BR,1718290718
160,cruzeiro do sul,-29.5128,-51.9853,25.84,67,88,3.25,BR,1718290914
161,invercargill,-46.4,168.35,6.12,98,100,5.81,NZ,1718290914
162,taunggyi,20.7833,97.0333,19.75,95,81,2.53,MM,1718290915
163,caleta olivia,-46.4393,-67.5281,6.56,74,100,2.12,AR,1718290915
164,dudinka,69.4058,86.1778,10.38,86,100,4.47,RU,1718290915
165,las palmas,28.4204,-14.0131,22.44,60,20,8.23,ES,1718290915
166,kuta,-8.7233,115.1723,25.97,94,40,2.68,ID,1718290915
167,biala podlaska,52.0324,23.1165,11.39,95,100,3.12,PL,1718290915
168,chibougamau,49.9168,-74.3659,14.79,94,100,5.66,CA,1718290872
169,olyokminsk,60.3736,120.4264,12.8,87,81,2.01,RU,1718290915
170,ulladulla,-35.35,150.4667,9.25,84,100,3.75,AU,1718290663
171,jamestown,42.097,-79.2353,25.77,55,0,5.66,US,1718290703
172,san luis de la loma,17.2706,-100.8939,28.86,68,91,0.96,MX,1718290916
173,daromehar,24.7946,68.1805,31.52,63,8,8.18,PK,1718290916
174,machico,32.7,-16.7667,22.35,71,40,7.2,PT,1718290916
175,carnarvon,-24.8667,113.6333,21.07,56,84,5.95,AU,1718290916
176,greymouth,-42.4667,171.2,8.76,96,100,2.91,NZ,1718290916
177,luderitz,-26.6481,15.1594,20.72,53,0,2.27,NA,1718290916
178,whitehorse,60.7161,-135.0538,5.43,65,75,1.54,CA,1718290887
179,constitucion,-35.3333,-72.4167,14.15,87,100,9.24,CL,1718290917
180,namibe,-15.1961,12.1522,24.78,52,0,3.98,AO,1718290917
181,yuzhno-kurilsk,44.0306,145.8556,11.32,95,79,1.83,RU,1718290917
182,talnakh,69.4865,88.3972,10.11,75,76,4.69,RU,1718290917
183,takoradi,4.8845,-1.7554,27.65,74,48,5.45,GH,1718290917
184,hamilton,39.1834,-84.5333,28.21,52,6,1.79,US,1718290826
185,collie,-33.3667,116.15,8.33,96,75,1.11,AU,1718290917
186,mejit,10.2753,170.8646,28.07,74,46,9.01,MH,1718290917
187,papao,-17.75,-149.55,23.82,85,50,8.73,PF,1718290917
188,stettler,52.3168,-112.7186,13.19,71,1,5.61,CA,1718290917
189,clinton,42.587,-82.9199,28.0,64,75,5.66,US,1718290812
190,tabou,4.423,-7.3528,26.9,80,58,5.15,CI,1718290917
191,bechar,31.6167,-2.2167,35.18,10,40,5.14,DZ,1718290877
192,howard springs,-12.497,131.047,20.95,92,79,0.23,AU,1718290918
193,callao,-12.0667,-77.15,23.57,82,100,2.57,PE,1718290833
194,necochea,-38.5473,-58.7368,18.8,90,100,3.78,AR,1718290808
195,taybad,34.74,60.7756,33.36,14,0,10.77,IR,1718290918
196,nacala,-14.5428,40.6728,25.62,88,75,4.12,MZ,1718290918
197,atafu village,-8.5421,-172.5159,28.7,77,67,4.92,TK,1718290918
198,iskateley,67.6803,53.1512,19.45,49,100,2.68,RU,1718290918
199,altamira,-3.2033,-52.2064,30.05,79,40,2.57,BR,1718290870
200,winnemucca,40.973,-117.7357,22.03,24,0,0.0,US,1718290918
201,brisas de zicatela,15.8369,-97.0419,26.39,77,100,1.9,MX,1718290918
202,uray,60.1247,64.7758,27.15,50,89,4.47,RU,1718290919
203,villa gesell,-37.2639,-56.973,21.7,59,100,9.03,AR,1718290919
204,libreville,0.3925,9.4537,29.01,74,20,3.6,GA,1718290917
205,turpan,42.9333,89.1667,34.63,24,72,3.8,CN,1718290919
206,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,90,100,4.47,RU,1718290919
207,klyuchi,52.2667,79.1667,21.67,61,96,2.88,RU,1718290919
208,zemio,5.0314,25.1361,30.3,56,48,2.3,CF,1718290919
209,takai,11.5833,9.1167,39.12,21,43,3.58,NG,1718290919
210,alice springs,-23.7,133.8833,10.75,82,0,3.09,AU,1718290919
211,mar del plata,-38.0023,-57.5575,21.4,96,100,6.17,AR,1718290641
212,nagqu,31.5,92.0,7.62,71,87,0.44,CN,1718290920
213,happy valley-goose bay,53.3168,-60.3315,20.17,64,75,2.06,CA,1718290812
214,vegreville,53.5001,-112.0518,12.39,93,100,4.12,CA,1718290920
215,mount isa,-20.7333,139.5,17.87,36,0,3.6,AU,1718290920
216,illizi,26.4833,8.4667,44.89,5,5,8.73,DZ,1718290848
217,pisco,-13.7,-76.2167,17.03,88,100,1.03,PE,1718290920
218,kolonia,50.9333,6.95,21.44,42,0,2.06,DE,1718290753
219,port lincoln,-34.7333,135.8667,14.27,91,99,5.28,AU,1718290920
220,tres arroyos,-38.3739,-60.2798,15.85,99,100,2.84,AR,1718290920
221,badger,64.8,-147.5333,12.77,86,100,0.89,US,1718290920
222,galle,6.0367,80.217,27.53,85,100,5.06,LK,1718290920
223,punta cardon,11.6581,-70.215,29.34,71,100,11.46,VE,1718290921
224,ilhabela,-23.7781,-45.3581,26.14,45,0,1.24,BR,1718290921
225,shimanovsk,52.0,127.7,13.79,53,100,1.47,RU,1718290921
226,kaga bandoro,6.9896,19.1874,30.75,53,84,2.27,CF,1718290921
227,biloela,-24.4167,150.5,9.5,55,7,1.93,AU,1718290921
228,nelson bay,-32.7167,152.15,13.89,77,100,4.83,AU,1718290921
229,mamuju,-2.6748,118.8885,25.29,89,100,1.77,ID,1718290921
230,akrehamn,59.2667,5.1833,12.34,62,20,2.57,NO,1718290921
231,itoman,26.1247,127.6694,26.89,100,75,5.14,JP,1718290921
232,tidjikja,18.5564,-11.4271,41.81,14,4,6.69,MR,1718290922
233,coronel vivida,-25.9797,-52.5678,24.56,43,70,5.05,BR,1718290922
234,palmer,42.1584,-72.3287,26.43,53,42,0.89,US,1718290816
235,laguna,38.421,-121.4238,20.52,73,0,5.14,US,1718290922
236,nuuk,64.1835,-51.7216,6.34,70,20,4.63,GL,1718290922
237,luena,-11.7833,19.9167,25.05,23,95,2.48,AO,1718290922
238,udachny,66.4167,112.4,14.69,79,100,7.92,RU,1718290922
239,utrik,11.2278,169.8474,28.02,75,96,8.69,MH,1718290922
240,fuglafjordur,62.244,-6.814,10.26,77,60,7.54,FO,1718290923
241,gadzhiyevo,69.2551,33.3362,7.44,74,26,6.08,RU,1718290923
242,brookings,44.3114,-96.7984,16.19,94,100,4.63,US,1718290923
243,guerrero,17.6667,-100.0,23.91,70,100,1.04,MX,1718290923
244,esil,51.9556,66.4042,22.87,69,60,3.58,KZ,1718290923
245,hailar,49.2,119.7,11.74,93,100,5.72,CN,1718290923
246,sona,45.4388,10.8255,23.1,53,40,2.06,IT,1718290923
247,christchurch,-43.5333,172.6333,9.41,91,75,1.03,NZ,1718290660
248,acapulco de juarez,16.8634,-99.8901,26.53,73,100,5.56,MX,1718290923
249,fale old settlement,-9.3852,-171.2468,28.41,77,71,4.91,TK,1718290923
250,nongpoh,25.9,91.8833,27.76,96,97,1.42,IN,1718290924
251,nizhniy kuranakh,58.8353,125.4869,9.62,94,46,1.51,RU,1718290924
252,celestun,20.8667,-90.4,29.88,63,99,3.09,MX,1718290924
253,dunedin,-45.8742,170.5036,7.11,97,100,1.42,NZ,1718290877
254,morki,56.4303,48.9947,25.56,66,47,4.21,RU,1718290924
255,hilo,19.7297,-155.09,24.04,93,75,2.06,US,1718290807
256,pont rouge,48.8833,-72.0825,22.16,68,100,3.91,CA,1718290924
257,urla,38.3229,26.764,40.22,21,46,1.4,TR,1718290924
258,taber,49.8167,-112.1518,15.0,58,4,0.51,CA,1718290922
259,kenai,60.5544,-151.2583,7.86,88,20,0.0,US,1718290925
260,miri,4.4148,114.0089,25.08,94,40,0.0,MY,1718290925
261,cadale,2.7603,46.3222,27.0,78,69,8.52,SO,1718290925
262,laholm,56.5121,13.0437,16.64,65,26,5.39,SE,1718290925
263,zaragoza,41.6561,-0.8773,31.93,26,0,3.09,ES,1718290673
264,tadmur,34.5608,38.2805,39.45,13,0,5.98,SY,1718290925
265,sheregesh,52.9209,87.9869,15.34,96,96,0.86,RU,1718290925
266,westport,41.1415,-73.3579,27.91,62,44,0.45,US,1718290891
267,selkirk,50.1436,-96.8845,17.26,80,88,1.34,CA,1718290914
268,shakawe,-18.3667,21.85,24.81,15,1,3.49,BW,1718290926
269,kuvandyk,51.4781,57.3552,26.22,62,0,2.9,RU,1718290926
270,kurchatov,51.6601,35.6521,18.23,92,100,5.58,RU,1718290926
